,Station Name,Distance from Start (km),Line,Opening Date,Station Layout,Latitude,Longitude,Latitude_Longitude,New Station Name
256,IP Extension,40.3,Pink,2018-10-31,Elevated,28.6288991,77.31019788,28.6288991 77.31019788,Sitaram Apartments
257,Malviya Nagar,29.1,Yellow,2010-03-09,Underground,28.52798,77.20565,28.52798 77.20565,Pandit Trilok Chandra Sharma Marg
258,Dilli Haat INA [Conn: Pink],23.8,Yellow,2010-03-09,Underground,28.57526,77.20935,28.57526 77.20935,Gate No. 3
259,Govind Puri,18.9,Voilet,2010-03-10,Elevated,28.54451,77.26401,28.54451 77.26401,Shri Maa Anandamai Marg
260,Escorts Mujesar,40.1,Voilet,2015-06-09,Elevated,28.3702344,77.3149203,28.3702344 77.3149203,Escorts Mujesar
261,Neelam Chowk Ajronda,37.0,Voilet,2015-06-09,Elevated,28.3974824,77.3123599,28.3974824 77.3123599,Neelam Chowk Ajronda
262,Lajpat Nagar [Conn: Pink],14.4,Voilet,2010-03-10,Elevated,28.57079,77.23653,28.57079 77.23653,Feroze Gandhi Road
263,Sultanpur,34.6,Yellow,2010-06-21,Elevated,28.49927,77.16153,28.49927 77.16153,Acharya Shri Tulsi Marg
264,Lok Kalyan Marg,21.3,Yellow,2010-03-09,Underground,28.59726,77.21088,28.59726 77.21088,Lok Kalyan Marg Metro Gate No. 2
265,Vinobapuri,29.1,Pink,2018-12-31,Underground,28.5669763,77.2491906,28.5669763 77.2491906,Vinobapuri
266,Gokulpuri,50.4,Pink,2018-10-31,Elevated,28.7024752,77.2861253,28.7024752 77.2861253,Gokulpuri
267,Kanhaiya Nagar,25.5,Red,2004-03-31,Elevated,28.68254,77.16459,28.68254 77.16459,Maharaja Nahar Singh Marg
268,Jama Masjid,2.3,Voilet,2017-05-28,Underground,28.65001015,77.23767617,28.65001015 77.23767617,Jama Masjid
269,Raja Nahar Singh,43.5,Voilet,2018-11-19,Elevated,28.3400192,77.3164281,28.3400192 77.3164281,Ballabgarh
270,Noida Sector 76,2.3,Aqua,2019-01-25,Elevated,28.568746,77.382685,28.568746 77.382685,Noida
271,Sector 53-54,2.6,Rapid Metro,2017-04-25,Elevated,28.4936,77.0935,28.4936 77.0935,U-19
272,Madipur,5.0,Green,2010-02-04,Elevated,28.67734,77.11965,28.67734 77.11965,Punjabi Bagh Tehsil
273,DLF Phase 1,5.5,Rapid Metro,2017-03-31,Elevated,28.4936,77.0935,28.4936 77.0935,U-19
274,Yamuna Bank,35.2,Blue,2009-10-05,Ground,28.62331,77.26792,28.62331 77.26792,Yamuna Bank
275,Kirti Nagar [Conn: Green],22.8,Blue,2005-12-30,Elevated,28.65575,77.15057,28.65575 77.15057,Kirti Nagar (Blue Line)
276,Kalindi Kunj,29.8,Magenta,2017-12-25,Elevated,28.5452187,77.3059891,28.5452187 77.3059891,Kalindi Kunj
277,Kaushambi,6.5,Blue branch,2011-07-14,Elevated,28.64544,77.32432,28.64544 77.32432,Kaushambi
278,Dwarka Sector 21 [Conn: Blue],20.8,Orange,2011-02-23,Underground,28.55226,77.05828,28.55226 77.05828,Dwarka Sector 21
279,Inderlok [Conn: Green],24.3,Red,2003-03-10,Elevated,28.67319,77.16994,28.67319 77.16994,Maharaja Nahar Singh Marg
280,Bata Chowk,38.3,Voilet,2015-06-09,Elevated,28.3858361,77.313462,28.3858361 77.313462,Bata Chowk
281,Dwarka Sector 12,5.8,Blue,2006-01-04,Elevated,28.59232,77.04051,28.59232 77.04051,Dwarka
